unit_id,source,recording,start_s,end_s,dur_ms,nn_cluster,knn15_dist,outside_envelope,x,y
xc_XC1089007_003,xc,XC1089007,7.076281179138321,7.354920634920633,278,8,6.387,True,7.23,13.34
xc_XC1089007_004,xc,XC1089007,10.843718820861676,10.983038548752832,139,8,4.582,False,0.77,-1.59
xc_XC1089007_005,xc,XC1089007,11.882811791383215,12.12081632653061,238,5,5.482,False,3.38,4.18
xc_XC1089007_006,xc,XC1089007,12.64907029478458,12.92190476190476,272,45,5.897,False,2.84,6.66
xc_XC1089007_007,xc,XC1089007,15.046530612244895,15.261315192743762,214,8,5.158,False,0.73,-1.97
xc_XC1089007_008,xc,XC1089007,15.952108843537411,16.230748299319725,278,8,5.442,False,1.94,-2.6
xc_XC1089007_009,xc,XC1089007,16.67192743764172,16.9447619047619,272,8,6.863,True,6.89,12.62
xc_XC1089007_010,xc,XC1089007,17.36272108843537,17.478820861678003,116,29,6.537,True,6.92,13.31
xc_XC1089007_011,xc,XC1089007,17.525260770975056,17.687800453514736,162,-1,7.004,True,3.93,13.19
xc_XC1089007_012,xc,XC1089007,18.58757369614512,18.93587301587301,348,5,5.134,False,3.44,3.92
xc_XC1089007_013,xc,XC1089007,19.49315192743764,19.748571428571424,255,45,6.047,False,2.89,6.63
xc_XC1089007_014,xc,XC1089007,20.18394557823129,20.54965986394557,365,8,4.061,False,1.93,-2.66
xc_XC1089007_015,xc,XC1089007,20.96761904761905,21.13015873015873,162,29,6.628,True,7.06,13.51
xc_XC1089007_016,xc,XC1089007,21.31591836734693,21.5481179138322,232,8,6.432,True,6.79,13.16
xc_XC1089007_017,xc,XC1089007,21.780317460317452,22.02993197278911,249,29,5.98,False,7.19,13.16
xc_XC1089007_018,xc,XC1089007,22.1750566893424,22.378231292517004,203,29,5.4,False,7.3,13.28
xc_XC1089007_019,xc,XC1089007,23.14448979591836,23.39410430839002,249,8,4.408,False,2.07,-1.07
xc_XC1089007_020,xc,XC1089007,23.951383219954646,24.23002267573696,278,8,4.441,False,1.91,-0.78
xc_XC1089007_021,xc,XC1089007,24.69442176870748,24.990476190476187,296,33,7.03,True,7.52,10.15
xc_XC1089007_022,xc,XC1089007,25.68126984126984,26.02956916099773,348,30,5.53,False,4.16,7.91
xc_XC1089007_023,xc,XC1089007,26.07600907029478,26.401088435374145,325,26,6.249,True,5.24,9.03
